"voetenshortcode1","voetenshortcode2","sim"
"AAB","AFG",624.2
"AAB","ALB",488.1
"AAB","ALG",666.2
"AAB","AND",525.1
"AAB","ANG",564.5
"AAB","ARG",649.6
"AAB","ARM",616.4
"AAB","AUL",453.8
"AAB","AUS",539.1
"AAB","AZE",619.9
"AAB","BAH",668.3
"AAB","BAR",669.1
"AAB","BEL",514.3
"AAB","BEN",622.4
"AAB","BFO",646.7
"AAB","BHM",656.2
"AAB","BHU",602.9
"AAB","BLR",639.6
"AAB","BLZ",650.9
"AAB","BNG",662.9
"AAB","BOL",635.7
"AAB","BOS",494.9
"AAB","BOT",618.2
"AAB","BRA",669.1
"AAB","BRU",673.3
"AAB","BUI",524
"AAB","BUL",505.7
"AAB","CAM",637.6
"AAB","CAN",435.3
"AAB","CAO",595.4
"AAB","CAP",622.8
"AAB","CDI",592.9
"AAB","CEN",465.7
"AAB","CHA",230.7
"AAB","CHL",656.1
"AAB","CHN",647.8
"AAB","COL",658
"AAB","COM",602.9
"AAB","CON",591.4
"AAB","COS",661.8
"AAB","CRO",520.3
"AAB","CUB",645.9
"AAB","CYP",538.9
"AAB","CZR",507.6
"AAB","DEN",514.1
"AAB","DJI",664.6
"AAB","DMA",498.7
"AAB","DOM",657.5
"AAB","DRC",329.6
"AAB","DRV",636.2
"AAB","ECU",668.5
"AAB","EGY",661.5
"AAB","EQG",215.2
"AAB","ERI",649.3
"AAB","EST",517.5
"AAB","ETH",620.5
"AAB","ETR",573.2
"AAB","FIN",526.6
"AAB","FJI",605.5
"AAB","FRN",471.9
"AAB","FSM",287
"AAB","GAB",524.6
"AAB","GAM",407.8
"AAB","GFR",517.1
"AAB","GHA",643.7
"AAB","GNB",546.9
"AAB","GRC",533.7
"AAB","GRG",496.8
"AAB","GRN",592.3
"AAB","GUA",663.3
"AAB","GUI",630.7
"AAB","GUY",674.1
"AAB","HAI",622.2
"AAB","HON",630.2
"AAB","HUN",509.9
"AAB","ICE",523.5
"AAB","IND",627.3
"AAB","INS",672
"AAB","IRE",541.7
"AAB","IRN",630.5
"AAB","IRQ",564.9
"AAB","ISR",227.8
"AAB","ITA",517.4
"AAB","JAM",676.6
"AAB","JOR",667.3
"AAB","JPN",558.4
"AAB","KBI",22.4
"AAB","KEN",631.3
"AAB","KUW",667.1
"AAB","KYR",623.4
"AAB","KZK",641.3
"AAB","LAO",634.8
"AAB","LAT",509.7
"AAB","LBR",507.1
"AAB","LEB",640.3
"AAB","LES",657.6
"AAB","LIB",653.3
"AAB","LIE",535.1
"AAB","LIT",513.7
"AAB","LUX",517.5
"AAB","MAA",624.9
"AAB","MAC",521.5
"AAB","MAD",661.9
"AAB","MAG",542.1
"AAB","MAL",670.8
"AAB","MAS",668.6
"AAB","MAW",570.8
"AAB","MEX",659.8
"AAB","MLD",526.6
"AAB","MLI",662.9
"AAB","MLT",544.2
"AAB","MNC",481.9
"AAB","MNG",359.1
"AAB","MON",636.2
"AAB","MOR",670
"AAB","MSI",325.2
"AAB","MYA",631.8
"AAB","MZM",651.7
"AAB","NAM",634
"AAB","NAU",261.9
"AAB","NEP",666.7
"AAB","NEW",543
"AAB","NIC",643.6
"AAB","NIG",649.1
"AAB","NIR",615
"AAB","NOR",525.3
"AAB","NTH",512.6
"AAB","OMA",662
"AAB","PAK",645.3
"AAB","PAL",252.3
"AAB","PAN",640.4
"AAB","PAR",646.8
"AAB","PER",658.1
"AAB","PHI",668.9
"AAB","PNG",570.2
"AAB","POL",507.5
"AAB","POR",522.6
"AAB","PRK",570.3
"AAB","QAT",669.6
"AAB","ROK",554.9
"AAB","RUM",519.5
