"voetenshortcode1","voetenshortcode2","sim"
"AAB","AFG",99.4
"AAB","ALB",89.4
"AAB","ALG",104.4
"AAB","AND",95.2
"AAB","ANG",88.5
"AAB","ARG",100.7
"AAB","ARM",101.7
"AAB","AUL",74.5
"AAB","AUS",95.5
"AAB","AZE",97.9
"AAB","BAH",104.1
"AAB","BAR",103.7
"AAB","BEL",91.8
"AAB","BEN",95.8
"AAB","BFO",96.5
"AAB","BHM",99.2
"AAB","BHU",91
"AAB","BLR",103.4
"AAB","BLZ",104.4
"AAB","BNG",104.1
"AAB","BOL",99.4
"AAB","BOS",83.8
"AAB","BOT",101.5
"AAB","BRA",104.1
"AAB","BRU",103.4
"AAB","BUI",91.9
"AAB","BUL",94.9
"AAB","CAM",94.1
"AAB","CAN",77.3
"AAB","CAO",89.6
"AAB","CAP",99.1
"AAB","CDI",84.8
"AAB","CEN",74.1
"AAB","CHA",31
"AAB","CHL",101.5
"AAB","CHN",102.4
"AAB","COL",101.3
"AAB","COM",88.1
"AAB","CON",90.7
"AAB","COS",100.1
"AAB","CRO",94.9
"AAB","CUB",104.4
"AAB","CYP",94.5
"AAB","CZR",94.3
"AAB","DEN",94.6
"AAB","DJI",104.1
"AAB","DMA",83.7
"AAB","DOM",97.3
"AAB","DRC",29.8
"AAB","DRV",103.4
"AAB","ECU",104.4
"AAB","EGY",104.1
"AAB","EQG",42
"AAB","ERI",100
"AAB","EST",94.6
"AAB","ETH",101.9
"AAB","ETR",96.8
"AAB","FIN",94.9
"AAB","FJI",95.4
"AAB","FRN",85
"AAB","FSM",28.4
"AAB","GAB",77.1
"AAB","GAM",43.7
"AAB","GFR",93.7
"AAB","GHA",103.1
"AAB","GNB",89.1
"AAB","GRC",96.5
"AAB","GRG",84.6
"AAB","GRN",89.5
"AAB","GUA",100.7
"AAB","GUI",103.1
"AAB","GUY",104.4
"AAB","HAI",88.5
"AAB","HON",97.2
"AAB","HUN",95.2
"AAB","ICE",94.6
"AAB","IND",103.1
"AAB","INS",104.1
"AAB","IRE",95.5
"AAB","IRN",102.4
"AAB","IRQ",87.4
"AAB","ISR",17.5
"AAB","ITA",95.5
"AAB","JAM",104.7
"AAB","JOR",104.1
"AAB","JPN",95.5
"AAB","KBI",0.7
"AAB","KEN",99.1
"AAB","KUW",104.1
"AAB","KYR",97.1
"AAB","KZK",100.1
"AAB","LAO",103.4
"AAB","LAT",94.6
"AAB","LBR",61.8
"AAB","LEB",96.1
"AAB","LES",101.4
"AAB","LIB",103.4
"AAB","LIE",95.9
"AAB","LIT",94.6
"AAB","LUX",94.9
"AAB","MAA",97.4
"AAB","MAC",94.6
"AAB","MAD",104.1
"AAB","MAG",81.1
"AAB","MAL",104.1
"AAB","MAS",104.4
"AAB","MAW",74.5
"AAB","MEX",101.6
"AAB","MLD",94.9
"AAB","MLI",101.4
"AAB","MLT",94.9
"AAB","MNC",80.9
"AAB","MNG",63
"AAB","MON",101.3
"AAB","MOR",104.1
"AAB","MSI",44.3
"AAB","MYA",93.4
"AAB","MZM",104.4
"AAB","NAM",97.4
"AAB","NAU",39.5
"AAB","NEP",103.1
"AAB","NEW",99.6
"AAB","NIC",102
"AAB","NIG",93.4
"AAB","NIR",85.4
"AAB","NOR",95.2
"AAB","NTH",94.9
"AAB","OMA",104.1
"AAB","PAK",102.4
"AAB","PAL",35.5
"AAB","PAN",95.6
"AAB","PAR",101.9
"AAB","PER",100.3
"AAB","PHI",101.6
"AAB","PNG",93.3
"AAB","POL",92.9
"AAB","POR",94.2
"AAB","PRK",104.4
"AAB","QAT",104.1
"AAB","ROK",95.2
"AAB","RUM",94.2
"AAB","RUS",100.5
"AAB","RWA",34.1
"AAB","SAF",104.4
"AAB","SAL",98.2
"AAB","SAU",104.1
"AAB","SEN",103.1
"AAB","SEY",16
"AAB","SIE",57.4
"AAB","SIN",104.1
"AAB","SKN",25
"AAB","SLO",94.9
"AAB","SLU",101.4
"AAB","SLV",95.2
"AAB","SNM",95.2
"AAB","SOL",92.7
"AAB","SOM",59.7
"AAB","SPN",96.5
"AAB","SRI",104.1
"AAB","SSD",0.7
"AAB","STP",43.4
"AAB","SUD",103.4
"AAB","SUR",87.1
"AAB","SVG",105
"AAB","SWA",73.1
"AAB","SWD",94.9
"AAB","SWZ",98.7
"AAB","SYR",103.4
"AAB","TAJ",93.2
"AAB","TAZ",95.4
"AAB","THI",102.9
"AAB","TKM",73.4
"AAB","TOG",103.1
"AAB","TON",80.5
"AAB","TRI",102.4
"AAB","TUN",102.1
"AAB","TUR",94.4
"AAB","TUV",80
