"voetenshortcode1","voetenshortcode2","sim"
"AAB","AFG",69.4
"AAB","ALB",62.7
"AAB","ALG",71.4
"AAB","AND",63.4
"AAB","ANG",65
"AAB","ARG",72.7
"AAB","ARM",71
"AAB","AUL",53.2
"AAB","AUS",64.4
"AAB","AZE",68
"AAB","BAH",71.2
"AAB","BAR",70.7
"AAB","BEL",62
"AAB","BEN",65
"AAB","BFO",70.7
"AAB","BHM",71.4
"AAB","BHU",63.7
"AAB","BLR",70.4
"AAB","BLZ",70
"AAB","BNG",71.8
"AAB","BOL",72.1
"AAB","BOS",61.2
"AAB","BOT",63
"AAB","BRA",72.7
"AAB","BRU",71.8
"AAB","BUI",67.1
"AAB","BUL",62.7
"AAB","CAM",69
"AAB","CAN",50.8
"AAB","CAO",69
"AAB","CAP",68
"AAB","CDI",65.5
"AAB","CEN",54.7
"AAB","CHA",39
"AAB","CHL",72.7
"AAB","CHN",72.1
"AAB","COL",69.2
"AAB","COM",69.4
"AAB","CON",68
"AAB","COS",72
"AAB","CRO",64.1
"AAB","CUB",70.1
"AAB","CYP",64.1
"AAB","CZR",60.7
"AAB","DEN",63
"AAB","DJI",70.8
"AAB","DMA",61
"AAB","DOM",70.7
"AAB","DRC",40
"AAB","DRV",69
"AAB","ECU",72.1
"AAB","EGY",70.5
"AAB","EQG",24
"AAB","ERI",70
"AAB","EST",62.7
"AAB","ETH",70
"AAB","ETR",62.7
"AAB","FIN",64.1
"AAB","FJI",67.8
"AAB","FRN",60.5
"AAB","FSM",48
"AAB","GAB",56.1
"AAB","GAM",34.7
"AAB","GFR",62.7
"AAB","GHA",68
"AAB","GNB",59
"AAB","GRC",64.7
"AAB","GRG",60
"AAB","GRN",68.4
"AAB","GUA",72.7
"AAB","GUI",68.7
"AAB","GUY",71.7
"AAB","HAI",68.4
"AAB","HON",63
"AAB","HUN",62.7
"AAB","ICE",64.1
"AAB","IND",72.1
"AAB","INS",71.5
"AAB","IRE",64.7
"AAB","IRN",67.4
"AAB","IRQ",59.8
"AAB","ISR",27.6
"AAB","ITA",65.4
"AAB","JAM",72.7
"AAB","JOR",72.1
"AAB","JPN",62.2
"AAB","KBI",9
"AAB","KEN",67.7
"AAB","KUW",70.2
"AAB","KYR",70.4
"AAB","KZK",71.7
"AAB","LAO",63
"AAB","LAT",63.7
"AAB","LBR",57.7
"AAB","LEB",70.8
"AAB","LES",68.7
"AAB","LIB",69.8
"AAB","LIE",64.4
"AAB","LIT",62.7
"AAB","LUX",64.4
"AAB","MAA",66.4
"AAB","MAC",62.4
"AAB","MAD",73
"AAB","MAG",68.7
"AAB","MAL",71.5
"AAB","MAS",72.7
"AAB","MAW",68
"AAB","MEX",71.5
"AAB","MLD",63.4
"AAB","MLI",72.1
"AAB","MLT",64.4
"AAB","MNC",57.4
"AAB","MNG",45.6
"AAB","MON",72.7
"AAB","MOR",69.5
"AAB","MSI",44.8
"AAB","MYA",70.7
"AAB","MZM",71
"AAB","NAM",68.4
"AAB","NAU",35.7
"AAB","NEP",72.7
"AAB","NEW",61.7
"AAB","NIC",67.1
"AAB","NIG",71
"AAB","NIR",67.4
"AAB","NOR",65.5
"AAB","NTH",62.3
"AAB","OMA",71.8
"AAB","PAK",70.5
"AAB","PAL",38.5
"AAB","PAN",71.2
"AAB","PAR",72.7
"AAB","PER",72.4
"AAB","PHI",71.1
"AAB","PNG",63.4
"AAB","POL",62
"AAB","POR",64.4
"AAB","PRK",63.4
"AAB","QAT",71.2
"AAB","ROK",65.2
"AAB","RUM",64.4
"AAB","RUS",69.6
"AAB","RWA",47
"AAB","SAF",70.4
"AAB","SAL",61.7
"AAB","SAU",71.2
"AAB","SEN",70.7
"AAB","SEY",18
"AAB","SIE",53
"AAB","SIN",72.4
"AAB","SKN",39
"AAB","SLO",63.4
"AAB","SLU",71
"AAB","SLV",64.4
"AAB","SNM",64.1
"AAB","SOL",70.7
"AAB","SOM",50.4
"AAB","SPN",64.4
"AAB","SRI",72
"AAB","SSD",2
"AAB","STP",40
"AAB","SUD",70.5
"AAB","SUR",67
"AAB","SVG",67
"AAB","SWA",60.1
"AAB","SWD",61.1
"AAB","SWZ",61.7
"AAB","SYR",70.5
"AAB","TAJ",68.7
"AAB","TAZ",66.7
"AAB","THI",72.4
"AAB","TKM",55
"AAB","TOG",72.7
"AAB","TON",59.6
"AAB","TRI",68.7
"AAB","TUN",71.8
"AAB","TUR",65.5
"AAB","TUV",53.4
"AAB","UAE",70.5
"AAB","UGA",57
"AAB","UKG",59.6
"AAB","UKR",62.1
"AAB","URU",72.7
"AAB","USA",7.7
"AAB","UZB",59
"AAB","VAN",46.1
"AAB","VEN",70.1
"AAB","WSM",65.8
"AAB","YEM",71.2
"AAB","YUG",66.4
"AAB","ZAM",72.4
"AAB","ZIM",70.7
"AFG","ALB",60.1
"AFG","ALG",69.7
"AFG","AND",60.8
"AFG","ANG",62.4
"AFG","ARG",69.4
"AFG","ARM",68.4
"AFG","AUL",50.6
"AFG","AUS",61.8
"AFG","AZE",65.4
"AFG","BAH",69.4
"AFG","BAR",67.4
"AFG","BEL",59.4
"AFG","BEN",62.4
"AFG","BFO",67.4
"AFG","BHM",68.1
"AFG","BHU",60.4
"AFG","BLR",67.8
"AFG","BLZ",67.4
"AFG","BNG",69.7
"AFG","BOL",69.4
"AFG","BOS",58.6
"AFG","BOT",60.4
"AFG","BRA",69.4
"AFG","BRU",69.7
"AFG","BUI",64.1
"AFG","BUL",60.1
"AFG","CAM",66.7
"AFG","CAN",48.2
"AFG","CAO",65.7
"AFG","CAP",65.4
"AFG","CDI",62.9
"AFG","CEN",52.1
"AFG","CHA",36.4
"AFG","CHL",69.4
"AFG","CHN",68.8
"AFG","COL",65.9
"AFG","COM",67.7
"AFG","CON",64.4
"AFG","COS",69.4
"AFG","CRO",61.5
"AFG","CUB",69.7
"AFG","CYP",61.8
"AFG","CZR",59.1
"AFG","DEN",60.4
"AFG","DJI",69
"AFG","DMA",58.4
"AFG","DOM",67.4
"AFG","DRC",39
"AFG","DRV",66.4
"AFG","ECU",70
"AFG","EGY",68.4
"AFG","EQG",24
"AFG","ERI",67.4
"AFG","EST",60.1
"AFG","ETH",67.4
"AFG","ETR",59.4
"AFG","FIN",61.5
"AFG","FJI",65.2
"AFG","FRN",57.9
"AFG","FSM",44.4
"AFG","GAB",53.4
"AFG","GAM",34
"AFG","GFR",60.1
"AFG","GHA",65.7
"AFG","GNB",55.4
"AFG","GRC",62.1
"AFG","GRG",57.4
"AFG","GRN",65.1
"AFG","GUA",69.4
"AFG","GUI",65.4
"AFG","GUY",68.4
"AFG","HAI",65.1
"AFG","HON",60.7
"AFG","HUN",60.1
"AFG","ICE",61.5
"AFG","IND",68.8
"AFG","INS",69.7
"AFG","IRE",62.1
"AFG","IRN",66.4
"AFG","IRQ",58.7
"AFG","ISR",25.3
"AFG","ITA",62.8
"AFG","JAM",69.4
"AFG","JOR",69.7
"AFG","JPN",59.6
"AFG","KBI",9
"AFG","KEN",64.4
"AFG","KUW",68.4
"AFG","KYR",67.4
"AFG","KZK",68.4
"AFG","LAO",61
"AFG","LAT",61.1
"AFG","LBR",56.1
"AFG","LEB",69
"AFG","LES",66.4
"AFG","LIB",68.7
"AFG","LIE",61.8
"AFG","LIT",60.1
"AFG","LUX",61.8
"AFG","MAA",65
"AFG","MAC",60.1
"AFG","MAD",69.4
"AFG","MAG",65.4
"AFG","MAL",69.7
"AFG","MAS",69.4
"AFG","MAW",64.4
"AFG","MEX",68.5
"AFG","MLD",60.8
"AFG","MLI",69.7
"AFG","MLT",61.8
"AFG","MNC",54.8
"AFG","MNG",43
"AFG","MON",69.4
"AFG","MOR",67.7
"AFG","MSI",41.5
"AFG","MYA",68.1
"AFG","MZM",68.4
"AFG","NAM",66.4
"AFG","NAU",34.1
"AFG","NEP",69.4
"AFG","NEW",59.1
"AFG","NIC",65.7
"AFG","NIG",68.4
"AFG","NIR",65.4
"AFG","NOR",62.2
"AFG","NTH",59.7
"AFG","OMA",70
"AFG","PAK",68.4
"AFG","PAL",36.2
"AFG","PAN",67.9
"AFG","PAR",69.4
"AFG","PER",69.1
"AFG","PHI",67.8
"AFG","PNG",61.1
"AFG","POL",59.4
"AFG","POR",61.8
"AFG","PRK",63
"AFG","QAT",69.4
"AFG","ROK",62.2
"AFG","RUM",61.8
"AFG","RUS",67.3
"AFG","RWA",44.7
"AFG","SAF",69.7
"AFG","SAL",59.1
"AFG","SAU",69.4
"AFG","SEN",67.4
"AFG","SEY",18
"AFG","SIE",51.4
"AFG","SIN",69.1
"AFG","SKN",36.7
"AFG","SLO",60.8
"AFG","SLU",67.4
"AFG","SLV",61.8
"AFG","SNM",61.5
"AFG","SOL",67.4
"AFG","SOM",49.7
"AFG","SPN",61.8
"AFG","SRI",69.4
"AFG","SSD",2
"AFG","STP",40
"AFG","SUD",69.4
"AFG","SUR",64.4
"AFG","SVG",63.4
"AFG","SWA",59
"AFG","SWD",58.5
"AFG","SWZ",59.4
"AFG","SYR",69.4
"AFG","TAJ",66.4
"AFG","TAZ",64.7
"AFG","THI",69.1
"AFG","TKM",54
"AFG","TOG",69.4
"AFG","TON",56.3
"AFG","TRI",65.4
"AFG","TUN",70
"AFG","TUR",62.5
"AFG","TUV",50.8
"AFG","UAE",69.4
"AFG","UGA",54.4
"AFG","UKG",57
"AFG","UKR",60.5
"AFG","URU",69.4
"AFG","USA",5.1
"AFG","UZB",56.4
"AFG","VAN",44.1
"AFG","VEN",69.1
"AFG","WSM",62.8
"AFG","YEM",69.4
"AFG","YUG",64.1
"AFG","ZAM",69.4
"AFG","ZIM",68.4
"ALB","ALG",61.8
"ALB","AND",70.5
"ALB","ANG",54.7
"ALB","ARG",63.8
"ALB","ARM",60.7
"ALB","AUL",61.7
"ALB","AUS",71.5
"ALB","AZE",62
"ALB","BAH",62.3
"ALB","BAR",62.1
"ALB","BEL",70.2
"ALB","BEN",55.4
"ALB","BFO",61.8
"ALB","BHM",62.5
"ALB","BHU",56.1
"ALB","BLR",61.1
"ALB","BLZ",59.7
"ALB","BNG",62.9
"ALB","BOL",62.5
"ALB","BOS",65.5
"ALB","BOT",54.4
"ALB","BRA",63.1
"ALB","BRU",62.9
"ALB","BUI",59.1
"ALB","BUL",71.2
"ALB","CAM",58.7
"ALB","CAN",59.7
"ALB","CAO",59.4
"ALB","CAP",57.7
"ALB","CDI",56.5
"ALB","CEN",45.7
"ALB","CHA",32.2
"ALB","CHL",63.8
"ALB","CHN",63.2
"ALB","COL",61.6
"ALB","COM",60.1
"ALB","CON",59.4
"ALB","COS",64.1
"ALB","CRO",71.1
"ALB","CUB",59.8
"ALB","CYP",70.9
"ALB","CZR",69.5
"ALB","DEN",70.9
"ALB","DJI",61.9
"ALB","DMA",52
"ALB","DOM",62.8
"ALB","DRC",33.8
"ALB","DRV",59.4
"ALB","ECU",63.2
"ALB","EGY",61.6
"ALB","EQG",22.1
"ALB","ERI",59.7
"ALB","EST",71.5
"ALB","ETH",60.4
"ALB","ETR",54
"ALB","FIN",71.8
"ALB","FJI",58.2
"ALB","FRN",68.2
"ALB","FSM",42.7
"ALB","GAB",48.4
"ALB","GAM",31.8
"ALB","GFR",71.2
"ALB","GHA",59.4
"ALB","GNB",51.3
"ALB","GRC",69.2
"ALB","GRG",68.5
"ALB","GRN",61.4
"ALB","GUA",63.8
"ALB","GUI",59.1
"ALB","GUY",62.8
"ALB","HAI",59.8
"ALB","HON",57.6
"ALB","HUN",71.5
"ALB","ICE",71.8
"ALB","IND",62.5
"ALB","INS",62.6
"ALB","IRE",71.2
"ALB","IRN",57.1
"ALB","IRQ",50.8
"ALB","ISR",38.7
"ALB","ITA",70.5
"ALB","JAM",63.8
"ALB","JOR",63.2
"ALB","JPN",70.3
"ALB","KBI",8
"ALB","KEN",60.8
"ALB","KUW",61.3
"ALB","KYR",61.5
"ALB","KZK",62.8
"ALB","LAO",52.7
"ALB","LAT",71.5
"ALB","LBR",50.4
"ALB","LEB",61.2
"ALB","LES",59.4
"ALB","LIB",60.9
"ALB","LIE",71.5
"ALB","LIT",71.5
"ALB","LUX",71.5
"ALB","MAA",56.4
"ALB","MAC",70.9
"ALB","MAD",64.1
"ALB","MAG",59.8
"ALB","MAL",62.6
"ALB","MAS",63.8
"ALB","MAW",59
"ALB","MEX",65.6
"ALB","MLD",71.1
"ALB","MLI",62.5
"ALB","MLT",71.5
"ALB","MNC",64.8
"ALB","MNG",52.1
"ALB","MON",63.8
"ALB","MOR",60.6
"ALB","MSI",49.4
"ALB","MYA",60.4
"ALB","MZM",61.4
"ALB","NAM",60.5
"ALB","NAU",31.1
"ALB","NEP",63.8
"ALB","NEW",69.9
"ALB","NIC",57.5
"ALB","NIG",62.1
"ALB","NIR",58.4
"ALB","NOR",71.2
"ALB","NTH",70.6
"ALB","OMA",62.2
"ALB","PAK",61.6
"ALB","PAL",42.7
"ALB","PAN",62.3
"ALB","PAR",63.1
"ALB","PER",64.1
"ALB","PHI",62.8
"ALB","PNG",54.4
"ALB","POL",70.5
"ALB","POR",71.5
"ALB","PRK",53.1
"ALB","QAT",62.3
"ALB","ROK",69.4
"ALB","RUM",71.5
"ALB","RUS",62.9
"ALB","RWA",38.6
"ALB","SAF",61.5
"ALB","SAL",54.7
"ALB","SAU",62.3
"ALB","SEN",63.1
"ALB","SEY",16.4
"ALB","SIE",45.9
"ALB","SIN",63.5
"ALB","SKN",31.9
"ALB","SLO",71.8
"ALB","SLU",61.7
"ALB","SLV",71.5
"ALB","SNM",71.8
"ALB","SOL",60.4
"ALB","SOM",42
"ALB","SPN",71.5
"ALB","SRI",62.4
"ALB","SSD",1.7
"ALB","STP",35.1
"ALB","SUD",60.2
"ALB","SUR",57.4
"ALB","SVG",57.4
"ALB","SWA",50.8
"ALB","SWD",69.9
"ALB","SWZ",69.3
"ALB","SYR",60.2
"ALB","TAJ",58.4
"ALB","TAZ",58.4
"ALB","THI",63.5
"ALB","TKM",46.6
"ALB","TOG",63.8
"ALB","TON",50.6
"ALB","TRI",59.7
"ALB","TUN",62.9
"ALB","TUR",70.3
"ALB","TUV",46.3
"ALB","UAE",61.6
"ALB","UGA",49.4
"ALB","UKG",68.5
"ALB","UKR",69.1
"ALB","URU",63.1
"ALB","USA",21.7
"ALB","UZB",50
"ALB","VAN",39.9
"ALB","VEN",59.8
"ALB","WSM",58.3
"ALB","YEM",61.6
"ALB","YUG",67
"ALB","ZAM",63.5
"ALB","ZIM",60.4
"ALG","AND",62.8
"ALG","ANG",64.4
"ALG","ARG",72.4
"ALG","ARM",71.1
"ALG","AUL",52.6
"ALG","AUS",63.8
"ALG","AZE",67.1
"ALG","BAH",72.1
"ALG","BAR",69.4
"ALG","BEL",61.4
"ALG","BEN",64.4
"ALG","BFO",70.4
"ALG","BHM",71.1
"ALG","BHU",63.4
"ALG","BLR",70.5
"ALG","BLZ",69.4
"ALG","BNG",72.1
"ALG","BOL",72.4
"ALG","BOS",60.6
"ALG","BOT",63.4
"ALG","BRA",71.4
"ALG","BRU",72.1
"ALG","BUI",66.4
"ALG","BUL",62.1
"ALG","CAM",68.7
"ALG","CAN",50.2
"ALG","CAO",67.7
"ALG","CAP",67.4
"ALG","CDI",64.9
"ALG","CEN",54.1
"ALG","CHA",38.4
"ALG","CHL",72.4
"ALG","CHN",71.8
"ALG","COL",68.9
"ALG","COM",70.4
"ALG","CON",67.4
"ALG","COS",71.4
"ALG","CRO",62.5
"ALG","CUB",70.4
"ALG","CYP",63.8
"ALG","CZR",60.1
"ALG","DEN",62.4
"ALG","DJI",71.7
"ALG","DMA",60.4
"ALG","DOM",70.4
"ALG","DRC",39.7
"ALG","DRV",69.4
"ALG","ECU",72.4
"ALG","EGY",71.4
"ALG","EQG",24
"ALG","ERI",69.4
"ALG","EST",61.8
"ALG","ETH",69.4
"ALG","ETR",61.4
"ALG","FIN",63.5
"ALG","FJI",67.2
"ALG","FRN",59.9
"ALG","FSM",46.4
"ALG","GAB",55.4
"ALG","GAM",34
"ALG","GFR",62.1
"ALG","GHA",68.7
"ALG","GNB",57.4
"ALG","GRC",64.1
"ALG","GRG",59.1
"ALG","GRN",67.1
"ALG","GUA",72.4
"ALG","GUI",68.4
"ALG","GUY",71.4
"ALG","HAI",68.1
"ALG","HON",62.4
"ALG","HUN",61.8
"ALG","ICE",63.5
"ALG","IND",71.5
"ALG","INS",72.4
"ALG","IRE",64.1
"ALG","IRN",68.1
"ALG","IRQ",60.4
"ALG","ISR",27.3
"ALG","ITA",64.8
"ALG","JAM",72.4
"ALG","JOR",73
"ALG","JPN",61.6
"ALG","KBI",9
"ALG","KEN",67.4
"ALG","KUW",71.1
"ALG","KYR",70.7
"ALG","KZK",71.4
"ALG","LAO",62.7
"ALG","LAT",62.8
"ALG","LBR",58.1
"ALG","LEB",70.7
"ALG","LES",69.7
"ALG","LIB",71.4
"ALG","LIE",63.8
"ALG","LIT",61.8
"ALG","LUX",63.8
"ALG","MAA",66.7
"ALG","MAC",62.1
"ALG","MAD",72.4
"ALG","MAG",68.4
"ALG","MAL",72.4
"ALG","MAS",72.4
"ALG","MAW",66.4
"ALG","MEX",71.2
"ALG","MLD",62.8
"ALG","MLI",71.4
"ALG","MLT",63.8
"ALG","MNC",56.8
"ALG","MNG",45
"ALG","MON",72.4
"ALG","MOR",70.4
"ALG","MSI",43.2
"ALG","MYA",70.8
"ALG","MZM",71.4
"ALG","NAM",68.8
"ALG","NAU",35.1
"ALG","NEP",72.4
"ALG","NEW",61.1
"ALG","NIC",68.1
"ALG","NIG",71.4
"ALG","NIR",67.4
"ALG","NOR",64.9
"ALG","NTH",61.7
"ALG","OMA",71.7
"ALG","PAK",70.8
"ALG","PAL",37.9
"ALG","PAN",70.9
"ALG","PAR",71.4
"ALG","PER",72.1
"ALG","PHI",70.8
"ALG","PNG",62.4
"ALG","POL",61.1
"ALG","POR",63.8
"ALG","PRK",64.4
"ALG","QAT",72.1
"ALG","ROK",64.9
"ALG","RUM",63.8
"ALG","RUS",69.7
"ALG","RWA",46.7
"ALG","SAF",72.4
"ALG","SAL",62.1
"ALG","SAU",72.1
"ALG","SEN",70.4
"ALG","SEY",18
"ALG","SIE",52.4
"ALG","SIN",72.1
"ALG","SKN",38.7
"ALG","SLO",62.5
"ALG","SLU",69.4
"ALG","SLV",63.8
"ALG","SNM",63.5
"ALG","SOL",69.4
"ALG","SOM",50
"ALG","SPN",63.8
"ALG","SRI",72.4
"ALG","SSD",2
"ALG","STP",40
"ALG","SUD",71.8
"ALG","SUR",66.4
"ALG","SVG",65.4
"ALG","SWA",61.7
"ALG","SWD",60.2
"ALG","SWZ",61.4
"ALG","SYR",71.8
"ALG","TAJ",67.7
"ALG","TAZ",65.4
"ALG","THI",72.1
"ALG","TKM",55
"ALG","TOG",72.4
"ALG","TON",58.3
"ALG","TRI",67.4
"ALG","TUN",72.7
"ALG","TUR",65.2
"ALG","TUV",52.1
"ALG","UAE",72.1
"ALG","UGA",56.4
"ALG","UKG",59
"ALG","UKR",62.2
"ALG","URU",72.4
"ALG","USA",6.8
"ALG","UZB",59.4
"ALG","VAN",44.8
"ALG","VEN",71.2
"ALG","WSM",64.8
"ALG","YEM",72.1
"ALG","YUG",66.5
"ALG","ZAM",72.7
"ALG","ZIM",70.7
"AND","ANG",55.4
"AND","ARG",64.8
"AND","ARM",62.1
"AND","AUL",63.6
"AND","AUS",74
"AND","AZE",61.7
"AND","BAH",63.6
"AND","BAR",62.1
"AND","BEL",72.1
"AND","BEN",57.4
"AND","BFO",62.8
"AND","BHM",65.1
"AND","BHU",58.4
"AND","BLR",62.8
"AND","BLZ",61.7
"AND","BNG",63.9
"AND","BOL",63.5
"AND","BOS",67.4
"AND","BOT",55.7
"AND","BRA",63.8
"AND","BRU",64.5
"AND","BUI",60.1
"AND","BUL",73.1
"AND","CAM",59.7
"AND","CAN",61.6
"AND","CAO",60.1
"AND","CAP",59.7
"AND","CDI",57.2
"AND","CEN",47.7
"AND","CHA",34.2
"AND","CHL",64.8
"AND","CHN",64.5
"AND","COL",61.9
"AND","COM",61.8
"AND","CON",60.4
"AND","COS",65.1
"AND","CRO",72.7
"AND","CUB",60.5
"AND","CYP",73.4
"AND","CZR",70.8
"AND","DEN",72.8
"AND","DJI",63.2
"AND","DMA",54
"AND","DOM",63.8
"AND","DRC",34.8
"AND","DRV",61.7
"AND","ECU",64.2
"AND","EGY",62.9
"AND","EQG",23.4
"AND","ERI",60.7
"AND","EST",72.8
"AND","ETH",61.1
"AND","ETR",55
"AND","FIN",73.7
"AND","FJI",59.9
"AND","FRN",70.1
"AND","FSM",42.1
"AND","GAB",50.4
"AND","GAM",31.8
"AND","GFR",73.1
"AND","GHA",60.4
"AND","GNB",53
"AND","GRC",71.7
"AND","GRG",69.5
"AND","GRN",62.4
"AND","GUA",64.8
"AND","GUI",61.4
"AND","GUY",64.8
"AND","HAI",61.8
"AND","HON",57.9
"AND","HUN",72.8
"AND","ICE",73.7
"AND","IND",64.2
"AND","INS",64.2
"AND","IRE",73.7
"AND","IRN",59.1
"AND","IRQ",50.8
"AND","ISR",38.6
"AND","ITA",72.4
"AND","JAM",64.8
"AND","JOR",64.2
"AND","JPN",72.2
"AND","KBI",9
"AND","KEN",61.1
"AND","KUW",62.6
"AND","KYR",62.5
"AND","KZK",63.8
"AND","LAO",54.7
"AND","LAT",72.8
"AND","LBR",52.7
"AND","LEB",61.9
"AND","LES",60.4
"AND","LIB",62.2
"AND","LIE",74
"AND","LIT",72.8
"AND","LUX",74
"AND","MAA",57.1
"AND","MAC",71.8
"AND","MAD",65.1
"AND","MAG",60.8
"AND","MAL",64.2
"AND","MAS",64.8
"AND","MAW",59.7
"AND","MEX",67.2
"AND","MLD",73.4
"AND","MLI",63.2
"AND","MLT",74
"AND","MNC",67
"AND","MNG",54
"AND","MON",64.8
"AND","MOR",61.6
"AND","MSI",49.7
"AND","MYA",62.4
"AND","MZM",62.4
"AND","NAM",62.1
"AND","NAU",31.1
"AND","NEP",64.8
"AND","NEW",71.8
"AND","NIC",58.5
"AND","NIG",63.1
"AND","NIR",59.1
"AND","NOR",73.1
"AND","NTH",72.1
"AND","OMA",62.9
"AND","PAK",62.9
"AND","PAL",43.3
"AND","PAN",63.3
"AND","PAR",63.8
"AND","PER",65.1
"AND","PHI",64.4
"AND","PNG",56.4
"AND","POL",71.8
"AND","POR",74
"AND","PRK",55.5
"AND","QAT",63.6
"AND","ROK",71.3
"AND","RUM",73.4
"AND","RUS",65.8
"AND","RWA",40.6
"AND","SAF",62.5
"AND","SAL",55.7
"AND","SAU",63.6
"AND","SEN",63.4
"AND","SEY",17.7
"AND","SIE",47.6
"AND","SIN",65.1
"AND","SKN",33.6
"AND","SLO",73.1
"AND","SLU",63.7
"AND","SLV",74
"AND","SNM",73.7
"AND","SOL",61.4
"AND","SOM",43.7
"AND","SPN",74
"AND","SRI",63.4
"AND","SSD",2
"AND","STP",36.1
"AND","SUD",61.9
"AND","SUR",59.1
"AND","SVG",59.4
"AND","SWA",51.8
"AND","SWD",71.2
"AND","SWZ",71.8
"AND","SYR",61.9
"AND","TAJ",59.4
"AND","TAZ",59.4
"AND","THI",65.1
"AND","TKM",47.9
"AND","TOG",64.8
"AND","TON",52.6
"AND","TRI",60.7
"AND","TUN",63.9
"AND","TUR",72.8
"AND","TUV",48.6
"AND","UAE",62.9
"AND","UGA",50.4
"AND","UKG",69.4
"AND","UKR",70.4
"AND","URU",64.1
"AND","USA",22.4
"AND","UZB",52
"AND","VAN",41.2
"AND","VEN",61.5
"AND","WSM",58.7
"AND","YEM",62.9
"AND","YUG",69.9
"AND","ZAM",64.5
"AND","ZIM",61.1
"ANG","ARG",65
"ANG","ARM",64
"ANG","AUL",45.2
"ANG","AUS",56.4
"ANG","AZE",60
"ANG","BAH",63.5
"ANG","BAR",63
"ANG","BEL",54
"ANG","BEN",58
"ANG","BFO",63
"ANG","BHM",63.7
"ANG","BHU",56
"ANG","BLR",63.4
"ANG","BLZ",63
"ANG","BNG",64.1
"ANG","BOL",64.4
"ANG","BOS",53.2
"ANG","BOT",56
"ANG","BRA",65
"ANG","BRU",64.1
"ANG","BUI",59.4
"ANG","BUL",54.7
"ANG","CAM",62
"ANG","CAN",42.8
"ANG","CAO",61.3
"ANG","CAP",61
"ANG","CDI",58.5
"ANG","CEN",47.7
"ANG","CHA",37
"ANG","CHL",65
"ANG","CHN",64.4
"ANG","COL",61.5
"ANG","COM",62.4
"ANG","CON",60
"ANG","COS",64
"ANG","CRO",56.1
"ANG","CUB",63.1
"ANG","CYP",56.4
"ANG","CZR",52.7
"ANG","DEN",55
"ANG","DJI",63.1
"ANG","DMA",56
"ANG","DOM",63
"ANG","DRC",37
"ANG","DRV",62
"ANG","ECU",64.4
"ANG","EGY",62.8
"ANG","EQG",22
"ANG","ERI",63
"ANG","EST",54.7
"ANG","ETH",63
"ANG","ETR",58
"ANG","FIN",56.1
"ANG","FJI",60.8
"ANG","FRN",53.1
"ANG","FSM",40
"ANG","GAB",48.4
"ANG","GAM",31
"ANG","GFR",54.7
"ANG","GHA",61
"ANG","GNB",51
"ANG","GRC",56.7
"ANG","GRG",52
"ANG","GRN",60.7
"ANG","GUA",65
"ANG","GUI",61
"ANG","GUY",64
"ANG","HAI",60.7
"ANG","HON",55
"ANG","HUN",54.7
"ANG","ICE",56.1
"ANG","IND",64.4
"ANG","INS",63.8
"ANG","IRE",56.7
"ANG","IRN",60.4
"ANG","IRQ",52.8
"ANG","ISR",20.8
