"voetenshortcode1","voetenshortcode2","sim"
"AAB","AFG",128.9
"AAB","ALB",80.6
"AAB","ALG",141.5
"AAB","AND",84.6
"AAB","ANG",133.1
"AAB","ARG",132.7
"AAB","ARM",124.4
"AAB","AUL",63.3
"AAB","AUS",85.9
"AAB","AZE",137.7
"AAB","BAH",146.1
"AAB","BAR",150.5
"AAB","BEL",81.8
"AAB","BEN",145.3
"AAB","BFO",140.6
"AAB","BHM",141.5
"AAB","BHU",136.1
"AAB","BLR",139.4
"AAB","BLZ",139.6
"AAB","BNG",144
"AAB","BOL",132.8
"AAB","BOS",84.4
"AAB","BOT",144.8
"AAB","BRA",141.4
"AAB","BRU",146.4
"AAB","BUI",133.8
"AAB","BUL",82.2
"AAB","CAM",130
"AAB","CAN",63.2
"AAB","CAO",132.5
"AAB","CAP",132.2
"AAB","CDI",119.7
"AAB","CEN",114.7
"AAB","CHA",67.5
"AAB","CHL",130
"AAB","CHN",142.4
"AAB","COL",145.6
"AAB","COM",129.2
"AAB","CON",125.3
"AAB","COS",138.7
"AAB","CRO",85
"AAB","CUB",140.4
"AAB","CYP",86.9
"AAB","CZR",79.8
"AAB","DEN",80.1
"AAB","DJI",143.5
"AAB","DMA",125.9
"AAB","DOM",139.8
"AAB","DRC",96.2
"AAB","DRV",138.1
"AAB","ECU",143.4
"AAB","EGY",143
"AAB","EQG",53.8
"AAB","ERI",140.5
"AAB","EST",82.2
"AAB","ETH",140.8
"AAB","ETR",134.6
"AAB","FIN",83.9
"AAB","FJI",123.4
"AAB","FRN",84.5
"AAB","FSM",46.6
"AAB","GAB",117.2
"AAB","GAM",99.6
"AAB","GFR",80.8
"AAB","GHA",149.8
"AAB","GNB",117.8
"AAB","GRC",93.1
"AAB","GRG",74.1
"AAB","GRN",121.1
"AAB","GUA",141.8
"AAB","GUI",140.4
"AAB","GUY",148.5
"AAB","HAI",130.3
"AAB","HON",134.4
"AAB","HUN",81.8
"AAB","ICE",83.6
"AAB","IND",143.6
"AAB","INS",145.9
"AAB","IRE",85.2
"AAB","IRN",138.4
"AAB","IRQ",124.9
"AAB","ISR",41.5
"AAB","ITA",83.8
"AAB","JAM",153.1
"AAB","JOR",145.6
"AAB","JPN",89.9
"AAB","KBI",10.7
"AAB","KEN",144.2
"AAB","KUW",147.7
"AAB","KYR",138.4
"AAB","KZK",137.6
"AAB","LAO",145.2
"AAB","LAT",83.6
"AAB","LBR",104.4
"AAB","LEB",138.4
"AAB","LES",147.7
"AAB","LIB",142.3
"AAB","LIE",89.3
"AAB","LIT",81.5
"AAB","LUX",83.9
"AAB","MAA",142.5
"AAB","MAC",83.9
"AAB","MAD",136.4
"AAB","MAG",114.4
"AAB","MAL",143.7
"AAB","MAS",149.2
"AAB","MAW",137.8
"AAB","MEX",136.3
"AAB","MLD",84.6
"AAB","MLI",147.9
"AAB","MLT",85.9
"AAB","MNC",84.5
"AAB","MNG",66.4
"AAB","MON",135.4
"AAB","MOR",144.9
"AAB","MSI",45
"AAB","MYA",132.9
"AAB","MZM",145.5
"AAB","NAM",141
"AAB","NAU",54.1
"AAB","NEP",147
"AAB","NEW",85
"AAB","NIC",137.8
"AAB","NIG",140.8
"AAB","NIR",141
"AAB","NOR",84.6
"AAB","NTH",78.7
"AAB","OMA",139.3
"AAB","PAK",145.9
"AAB","PAL",43.2
"AAB","PAN",131.3
"AAB","PAR",134.1
"AAB","PER",136.5
"AAB","PHI",143.8
"AAB","PNG",119.9
"AAB","POL",79.4
"AAB","POR",85.9
"AAB","PRK",136
"AAB","QAT",147.1
"AAB","ROK",91
"AAB","RUM",82.2
"AAB","RUS",137.9
"AAB","RWA",108
"AAB","SAF",147.1
"AAB","SAL",132.1
"AAB","SAU",145.4
"AAB","SEN",143.3
"AAB","SEY",24.4
"AAB","SIE",120.7
"AAB","SIN",147.7
"AAB","SKN",69.4
"AAB","SLO",82.9
"AAB","SLU",140.2
"AAB","SLV",86.2
"AAB","SNM",85.3
"AAB","SOL",129
"AAB","SOM",116.6
"AAB","SPN",86.6
"AAB","SRI",143.7
"AAB","SSD",11.7
"AAB","STP",84.8
"AAB","SUD",140.3
"AAB","SUR",135.2
"AAB","SVG",134.1
"AAB","SWA",115.4
"AAB","SWD",81.5
"AAB","SWZ",89.6
"AAB","SYR",139.4
"AAB","TAJ",129.1
"AAB","TAZ",143.3
"AAB","THI",149.5
"AAB","TKM",118.3
"AAB","TOG",144.8
"AAB","TON",95.9
"AAB","TRI",147.6
"AAB","TUN",134.9
"AAB","TUR",86
"AAB","TUV",112.2
"AAB","UAE",148.9
"AAB","UGA",132.2
"AAB","UKG",79.8
"AAB","UKR",85.6
"AAB","URU",139.5
"AAB","USA",38.4
"AAB","UZB",130
"AAB","VAN",102.1
"AAB","VEN",139
"AAB","WSM",114.9
"AAB","YEM",145.6
"AAB","YUG",84.5
"AAB","ZAM",148.7
"AAB","ZIM",140.3
"AFG","ALB",75.7
"AFG","ALG",124.6
"AFG","AND",77.9
"AFG","ANG",118.2
"AFG","ARG",120.1
"AFG","ARM",116.8
"AFG","AUL",56.6
"AFG","AUS",79.2
"AFG","AZE",128
"AFG","BAH",137.8
"AFG","BAR",132.1
"AFG","BEL",75.1
"AFG","BEN",129.2
"AFG","BFO",121.7
"AFG","BHM",126.6
"AFG","BHU",124
"AFG","BLR",123.5
"AFG","BLZ",125.3
"AFG","BNG",133
"AFG","BOL",119.6
"AFG","BOS",79.8
"AFG","BOT",129.8
"AFG","BRA",126.1
"AFG","BRU",134.2
"AFG","BUI",117.8
"AFG","BUL",74.8
"AFG","CAM",116.7
"AFG","CAN",55.5
"AFG","CAO",114.2
"AFG","CAP",115.8
"AFG","CDI",103.6
"AFG","CEN",100
"AFG","CHA",59
"AFG","CHL",117.2
"AFG","CHN",126.8
"AFG","COL",126.3
"AFG","COM",120
"AFG","CON",117.3
"AFG","COS",122.8
"AFG","CRO",78.6
"AFG","CUB",124.2
"AFG","CYP",79.6
"AFG","CZR",72.4
"AFG","DEN",73.4
"AFG","DJI",131
"AFG","DMA",106.6
"AFG","DOM",123.1
"AFG","DRC",80.3
"AFG","DRV",125.2
"AFG","ECU",126.9
"AFG","EGY",127.1
"AFG","EQG",48.3
"AFG","ERI",129.2
"AFG","EST",74.8
"AFG","ETH",124.4
"AFG","ETR",120.4
"AFG","FIN",77.2
"AFG","FJI",106.8
"AFG","FRN",76.8
"AFG","FSM",39.3
"AFG","GAB",107.9
"AFG","GAM",88.6
"AFG","GFR",75.1
"AFG","GHA",134.5
"AFG","GNB",107.8
"AFG","GRC",85.5
"AFG","GRG",74.7
"AFG","GRN",107.9
"AFG","GUA",127
"AFG","GUI",126.1
"AFG","GUY",131.8
"AFG","HAI",116.4
